Asset ID,Filename,Upload Date,Direct DAM Link,Google Drive Link (To Be Filled)
613be408-e656-412d-b116-a86237a29a24,"ProTraining_Capsule01_FreeNav_Slider.m4v",2026-01-20,https://dam.capy-dev.com/assets/613be408-e656-412d-b116-a86237a29a24,
32f15349-c8a3-4d29-8094-95a47af9d7dc,"ETHOSFDF_Module04_SectionA_DragandDrop.mp4",2026-01-19,https://dam.capy-dev.com/assets/32f15349-c8a3-4d29-8094-95a47af9d7dc,
a94f2edd-0f67-43cc-94a5-2c7d8e836b71,"ProTraining_Capsule03_Slider.m4v",2026-01-21,https://dam.capy-dev.com/assets/a94f2edd-0f67-43cc-94a5-2c7d8e836b71,
b42206df-6963-4791-a296-a6709a3395a3,"ETHOSFDF_Module04_SectionA_CommunityIntelligence_TapandReveal2.mp4",2026-01-19,https://dam.capy-dev.com/assets/b42206df-6963-4791-a296-a6709a3395a3,
71ad3460-bd18-4561-97f1-aacc01289cf5,"ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_TapandReveal.m4v",2026-01-20,https://dam.capy-dev.com/assets/71ad3460-bd18-4561-97f1-aacc01289cf5,
4dc664bf-455a-4df8-8207-2001366b8403,"ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_TapandReveal2.m4v",2026-01-20,https://dam.capy-dev.com/assets/4dc664bf-455a-4df8-8207-2001366b8403,
b1c232dc-7eb8-49c6-ab36-6b89194dad31,"ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_Slider.m4v",2026-01-20,https://dam.capy-dev.com/assets/b1c232dc-7eb8-49c6-ab36-6b89194dad31,
0a3edfd2-e19f-4574-94d7-6c01cdb1dbb0,"EtisalatAcademy_Scenario01_EN_TapandReveal.mp4",2026-01-21,https://dam.capy-dev.com/assets/0a3edfd2-e19f-4574-94d7-6c01cdb1dbb0,
b3bacb97-359f-441e-8017-70f1bb1ad5b3,"ProTraining_Capsule03_TapandReveal.m4v",2026-01-21,https://dam.capy-dev.com/assets/b3bacb97-359f-441e-8017-70f1bb1ad5b3,
26130dc7-5855-4039-b0ef-39449c024cbc,"ProTraining_Capsule03_DragandDrop.m4v",2026-01-21,https://dam.capy-dev.com/assets/26130dc7-5855-4039-b0ef-39449c024cbc,
daf40a2a-9982-4b20-9879-b0af53128704,"EtisalatAcademy_Scenario01_EN_Intro.mp4",2026-01-21,https://dam.capy-dev.com/assets/daf40a2a-9982-4b20-9879-b0af53128704,
86e92f9f-252d-4574-b931-8a47288029ed,"EtisalatAcademy_Scenario02_EN_DragandDrop.mp4",2026-01-21,https://dam.capy-dev.com/assets/86e92f9f-252d-4574-b931-8a47288029ed,
c22028be-cf5c-454f-afa9-61f9f12d9568,"EtisalatAcademy_Scenario04_EN_Dial.m4v",2026-01-22,https://dam.capy-dev.com/assets/c22028be-cf5c-454f-afa9-61f9f12d9568,
3bc87182-e7ae-428e-9a90-9cff8031899b,"EtisalatAcademy_Scenario04_EN_Tapandreveal.m4v",2026-01-22,https://dam.capy-dev.com/assets/3bc87182-e7ae-428e-9a90-9cff8031899b,
1e1752d7-f1d1-4f1e-b355-b2fb75584979,"FAB_CombatingFinancialCrime_TapandReveal.m4v",2026-01-23,https://dam.capy-dev.com/assets/1e1752d7-f1d1-4f1e-b355-b2fb75584979,
f50b98dc-bc5c-4e4a-835a-0e95316ddf5a,"FAB_RegulatoryComplianceSimplified_TapandReveal.m4v",2026-01-22,https://dam.capy-dev.com/assets/f50b98dc-bc5c-4e4a-835a-0e95316ddf5a,
99767b1f-9af8-4554-99aa-a6ff37a13216,"FAB_CombatingFinancialCrime_TapandReveal2.m4v",2026-01-23,https://dam.capy-dev.com/assets/99767b1f-9af8-4554-99aa-a6ff37a13216,
